ZIP,SNAPSHOT,SNAPFILE,SNAPPEND,SNAPCLOS,CASEKEY,CIRCUIT,DISTRICT,OFFICE,DOCKET,GEN,SEQ,ORIGIN,ORGFLDT,FILEDATE,FILECY,FILEFY,ORGFLCHP,ORGFLSUBCHP,CRNTCHP,CRNTFLSUBCHP,ORGNTRDBT,NTRDBT,JOINT,D1ZIP,D1CNTY,ORGD1FPRSE,D1FPRSE,D1CHGDT,D2ZIP,D2CNTY,ORGD2FPRSE,D2FPRSE,D2CHGDT,ORGFEESTS,FEESTS,CASETYP,ORGDBTRTYP,DBTRTYP,NOB,PRFILE,ORGEASST,EASST,ORGELBLTS,ELBLTS,ORGECRDTRS,ECRDTRS,ORGASSTCASE,ASSTCASE,SMLLBUS,PREPACK,TOTASSTS,REALPROP,PERSPROP,TOTLBLTS,SECURED,UNSECPR,UNSECNPR,DSCHRGD,NDSCHRGD,TOTDBT,CNTMNTHI,AVGMNTHI,AVGMNTHE,SRCCASE,DSTNCASE,CNSLLEAD,JNTLEAD,FLCMECFV,CLOSEDT,CLOSECY,CLOSEFY,CLCHPT,CLSUBCHPT,D1CPRSE,D1FDSP,D1FDSPDT,D1FDSPCY,D1FDSPFY,D2CPRSE,D2FDSP,D2FDSPDT,D2FDSPCY,D2FDSPFY,C11DVDND,C11FTRPAY,CLCMECFV,TAXEXEMPT,GEOID
38018,2022-12-31,1,1,0,BK06512222516400,06,51,2,2225164,0,0,,2022-11-22,2022-11-22,2022,2023,13,,13,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,B,B,A,A,y,y,,,12040,0,12040,55609,19900,0,35709,55609,0,55609,2821,3469,2343,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222382600,06,51,2,2223826,0,0,,2022-09-07,2022-09-07,2022,2022,13,,13,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,C,C,C,C,A,A,y,y,,,234726.92,223900,10826.92,193366.62,130045.49,0,63321.13,193366.62,0,193366.62,5576.69,5147.03,4954.39,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222534400,06,51,2,2225344,0,0,,2022-12-05,2022-12-05,2022,2023,13,,13,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,B,B,A,A,y,y,,,9683,0,9683,62801.54,7977.45,15000,39824.09,16522.54,46279,62801.54,3100,3100,2425,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222331100,06,51,2,2223311,0,0,,2022-08-10,2022-08-10,2022,2022,13,,13,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,A,A,A,A,y,y,,,18100,0,18100,18307,14050,0,4257,18307,0,18307,2239.87,3019.04,2555,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222501900,06,51,2,2225019,0,0,,2022-11-14,2022-11-14,2022,2023,7,,7,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,B,B,A,A,n,n,,,6429,0,6429,66697.37,0,0,66697.37,66697.37,0,66697.37,3391,2950.33,3181,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222027000,06,51,2,2220270,0,0,,2022-01-25,2022-01-25,2022,2022,13,,13,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,11220,0,11220,23883.5,0,0,23883.5,23883.5,0,23883.5,4596.42,5704.62,2515,,,,,10.6.3,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222475800,06,51,2,2224758,0,0,,2022-10-28,2022-10-28,2022,2023,7,,7,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,A,A,A,A,n,n,,,7400,0,7400,20931.91,1754.66,0,19177.25,20931.91,0,20931.91,0,1253,1200,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222498100,06,51,2,2224981,0,0,,2022-11-10,2022-11-10,2022,2023,13,,13,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,1600,0,1600,5300,0,0,5300,NA,NA,NA,3894,3389,2794,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222333000,06,51,2,2223330,0,0,,2022-08-11,2022-08-11,2022,2022,13,,13,,c,c,n,380180000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,B,B,A,A,y,y,,,4060,0,4060,54329,21000,0,33329,54329,0,54329,2570,2570,2052,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
38018,2022-12-31,1,1,0,BK06512222515900,06,51,2,2225159,0,0,,2022-11-22,2022-11-22,2022,2023,13,,13,,b,b,y,380180000,47157,n,n,NA,380180000,47157,n,n,NA,i,,v,i,i,n,N,C,C,D,D,A,A,y,y,,,493916,421000,72916,792484,558848,0,233636,792484,0,792484,8391,8038,3765,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38018
